"","date","den","loc"
"212",2018-08-01,24.0184001922607,"NEAS"
"213",2018-09-01,23.7654998779297,"NEAS"
"214",2018-10-01,23.2688997268677,"NEAS"
"215",2018-11-01,23.3164999008179,"NEAS"
"216",2018-12-01,23.7737500667572,"NEAS"
"217",2019-01-01,24.2018888261583,"NEAS"
"218",2019-02-01,24.3697502613068,"NEAS"
"219",2019-03-01,24.058500289917,"NEAS"
"220",2019-04-01,23.3482496738434,"NEAS"
"221",2019-05-01,22.9467000961304,"NEAS"
"222",2019-06-01,22.8123334248861,"NEAS"
"223",2019-07-01,23.1397777133518,"NEAS"
"224",2019-08-01,23.7442500591278,"NEAS"
"225",2019-09-01,23.5734282902309,"NEAS"
"226",2019-10-01,23.125999723162,"NEAS"
"227",2019-11-01,23.4188567570278,"NEAS"
"228",2019-12-01,23.6391251087189,"NEAS"
"229",2020-01-01,24.0107500553131,"NEAS"
