"","sst","pden","chl","c"
"688",-1.24565909534833,4.54736785002813,0.11015423900975,0.11015423900975
"689",-1.24370151809769,4.30861751304331,0.109024128987408,0.109024128987408
"690",-1.24135465174972,4.06856149629301,0.107865047444881,0.107865047444881
"691",-1.23861879333011,3.82726579370571,0.106677156188599,0.106677156188599
"692",-1.23549440280113,3.58479754394775,0.105460634142291,0.105460634142291
"693",-1.23198208823006,3.34122508257661,0.104215674909161,0.104215674909161
"694",-1.22808260266084,3.09661767176799,0.1029424849391,0.1029424849391
"695",-1.22379685418902,2.85104492609694,0.101641283186702,0.101641283186702
"696",-1.21912590322579,2.60457661351073,0.100312300365176,0.100312300365176
"697",-1.21407095267591,2.35728271842766,0.0989557781552418,0.0989557781552418
"698",-1.20863334266749,2.10923348097335,0.0975719692489433,0.0975719692489433
"699",-1.2028145427741,1.86049951606741,0.0961611378930185,0.0961611378930185
"700",-1.19661615442465,1.61115185455693,0.0947235605071482,0.0947235605071482
"701",-1.19003992684723,1.36126187634063,0.0932595267516958,0.0932595267516958
"702",-1.18308776071313,1.11090153818846,0.0917693401612692,0.0917693401612692
"703",-1.1757617025194,0.860143877267866,0.0902533179396228,0.0902533179396228
"704",-1.16806394454693,0.609063276038205,0.0887117920418178,0.0887117920418178
"705",-1.15999682302132,0.357735529168937,0.087145110845358,0.087145110845358
"706",-1.15156282195601,0.106237809978855,0.0855536405554453,0.0855536405554453
"707",-1.14276458615451,-0.145351469699484,0.0839377671864689,0.0839377671864689
"708",-1.1336049211406,-0.396952728917961,0.0822978967366793,0.0822978967366793
"709",-1.12408678376922,-0.648485251040968,0.0806344535272535,0.0806344535272535
"710",-1.11421327512678,-0.899867211948342,0.0789478789905815,0.0789478789905815
"711",-1.10398762975927,-1.15101575821581,0.0772386303970755,0.0772386303970755
"712",-1.09341321329306,-1.4018471420579,0.0755071790637047,0.0755071790637047
"713",-1.08249352977089,-1.65227683394376,0.0737540085620431,0.0737540085620431
"714",-1.07123222148838,-1.90221963505747,0.0719796125878299,0.0719796125878299
"715",-1.05963306549678,-2.15158983390525,0.0701844920807473,0.0701844920807473
"716",-1.04769997037217,-2.40030141367787,0.0683691534431313,0.0683691534431313
"717",-1.03543696799916,-2.64826832258355,0.0665341079998896,0.0665341079998896
"718",-1.02284821266294,-2.89540489206808,0.0646798708364165,0.0646798708364165
"719",-1.00993798882713,-3.14162631725952,0.0628069597780322,0.0628069597780322
