"","X1","sl.noo","Id","depth.surf","Fluro.surf","Temp.surf","Sali.surf","Oxy.surf","depth.scm","Fluro.scm","Temp.scm","Sali.scm","Oxy.scm","scmmodes","month","Date","swr","wind","a","b","c","sigma.surf","sigma.scm","par"
"20",41,4,"314006.cnv",5,0.5413,25.6163,36.5106,4.77833,21,1.6719,24.6959,36.518,4.70973,"hp","march","10/03/2013",192.070550746134,0.0138766666597803,1.57514343066799,21.4346474031731,16.5496187807046,24.1492718724289,24.4379925009653,51.6847657744469
"21",61,6,"314008.cnv",5,0.5683,25.608,36.3744,4.68152,24,0.6186,25.3135,36.3036,4.56765,"p","march","10/03/2013",192.070550746134,0.0138766666597803,0.780957612517343,23.9643132198938,24.4178968238566,24.0511282641417,24.0899671510972,51.6847657744469
"22",71,7,"314011.cnv",5,0.1225,26.5527,36.2698,4.50263,35,1.3627,25.4047,36.1942,4.0712,"p","march","12/03/2013",208.041896370666,0.0165399999624545,1.2227443886364,35.0928359932142,7.64635794866174,23.6768481318728,23.9808511811049,52.686382500099
"23",81,8,"314013.cnv",5,0.1601,25.6731,36.5233,4.62349,39,1.7199,25.0603,36.5216,4.52392,"hp","march","13/03/2013",204.882189147113,0.017296666764499,1.59978382144964,38.8141616277883,14.1262902878113,24.1409715068471,24.3292938011632,51.4470787721677
"24",91,9,"314014.cnv",5,0.4228,25.787,36.4984,4.71867,31,1.6066,24.8382,36.4737,4.7364,"hp","march","13/03/2013",204.882189147113,0.017296666764499,1.34904352519295,31.4747550308409,20.3166507384199,24.0870122402505,24.3617978280979,51.4470787721677
"25",101,10,"314017.cnv",5,0.4242,25.5623,36.4802,4.68413,25,1.2613,24.0593,36.4611,4.40286,"p","march","14/03/2013",201.963427462643,0.0191466667320735,1.25227993880928,24.6537362714831,11.7124413886571,24.1435829777947,24.5878286708116,52.6887605619326
"26",111,11,"314018.cnv",5,0.1665,25.6483,36.4581,4.58913,29,1.1597,24.427,36.4374,4.20615,"p","march","14/03/2013",201.963427462643,0.0191466667320735,0.934161685015105,28.6959788019786,13.0396476024425,24.1004851852513,24.4597227119241,52.6887605619326
"27",121,12,"314019.cnv",5,0.1954,25.8388,36.4374,4.69293,27,1.7217,24.5993,36.4415,4.39211,"hp","march","14/03/2013",201.963427462643,0.0191466667320735,1.62090839098812,27.1091250520352,11.4037760936585,24.025727238773,24.4106185469841,52.6887605619326
"28",131,13,"314020.cnv",5,0.2291,25.8336,36.4503,4.64758,28,1.5611,24.8297,36.4478,4.64902,"p","march","14/03/2013",201.963427462643,0.0191466667320735,1.7278751949897,27.8503412502328,11.8907306115068,24.0368883647627,24.3451988500026,52.6887605619326
"29",141,14,"314021.cnv",5,0.1192,26.0426,36.4365,4.51922,33,1.342,24.5443,36.4666,4.39587,"p","march","15/03/2013",200.95195508983,0.0198600000410806,1.1943806092634,33.3881353476227,12.0748870530337,23.9611562690146,24.4459030220723,53.1711598985036
"30",151,15,"314022.cnv",5,0.6029,26.0586,36.5824,4.70588,27,1.9815,24.5174,36.5281,4.2298,"hp","march","15/03/2013",200.95195508983,0.0198600000410806,1.79383839365173,26.558039429885,16.5936348999773,24.0639033180582,24.4996609784332,53.1711598985036
"31",161,16,"314023.cnv",5,0.4208,26.1668,36.5838,4.7902,26,1.9,24.518,36.5242,4.19802,"hp","march","15/03/2013",200.95195508983,0.0198600000410806,1.62134687895984,25.7472896067031,15.1287771033354,24.0308383024926,24.4965867952121,53.1711598985036
"32",17,17,"314024.cnv",5,0.1548,25.8121,36.4511,4.61182,31,1.1693,24.4164,36.4319,4.13897,"p","march","16/03/2013",200.660499844486,0.0206133333422864,1.08241325088255,31.2381360562027,11.772999250454,24.0442028404254,24.4588430251499,53.5608100485429
"33",18,18,"314025.cnv",5,0.1235,25.9489,36.4512,4.57392,34,1.1487,24.3589,36.4056,4.43836,"p","march","16/03/2013",200.660499844486,0.0206133333422864,0.981368711165161,34.174794451124,17.2975832433153,24.0014387845049,24.4566747982581,53.5608100485429
"34",19,19,"314026.cnv",5,0.0493,26.9447,36.4239,4.50095,36,1.8893,25.2824,36.5315,4.6589,"hp","march","16/03/2013",200.660499844486,0.0206133333422864,1.72252917323096,35.7082574244191,15.9392892487336,23.66524236255,24.2682431929466,53.5608100485429
"35",20,20,"314027.cnv",5,0.0455,26.9545,36.4224,4.41267,34,1.6036,25.3127,36.5277,4.65028,"hp","march","16/03/2013",200.660499844486,0.0206133333422864,1.47883701297522,34.269436418006,15.086507685799,23.6609898715477,24.2560722947596,53.5608100485429
"36",21,21,"314028.cnv",5,0.1684,26.1826,36.4734,4.53465,42,1.4886,25.081,36.4866,4.55866,"p","march","17/03/2013",200.78188267538,0.0225000001623509,1.39251548454269,42.0632731399083,16.7292625231753,23.9443236511703,24.2970168662241,53.7781104977824
"37",22,22,"314029.cnv",5,0.2484,26.2397,36.4737,4.51411,34,1.6536,25.116,36.4531,4.34883,"hp","march","17/03/2013",200.78188267538,0.0225000001623509,1.41501085982878,34.0116649211436,16.1507697897592,23.9265196234863,24.2614566032742,53.7781104977824
"38",23,23,"314030.cnv",5,1.141,26.2226,36.4871,4.47268,20,0.5961,25.9467,36.4691,4.48631,"p","march","18/03/2013",201.884824423594,0.0253466667064155,0.757470087656006,20.3345317041819,31.8919893208527,23.9418148518533,24.0153553084392,54.1526739175003
"39",24,24,"314031.cnv",5,0.521,26.2053,36.4916,4.50672,33,1.0646,25.1616,36.4045,4.14476,"p","march","18/03/2013",201.884824423594,0.0253466667064155,0.813532191983018,33.3338582653397,25.5061097760128,23.9505999105183,24.2114515116616,54.1526739175003
"40",25,25,"314032.cnv",5,0.2101,26.916,36.5111,4.46139,37,1.3895,25.0949,36.4177,4.09629,"p","march","18/03/2013",201.884824423594,0.0253466667064155,1.27523560924175,36.756831757843,16.8380848065404,23.7387282831418,24.2417245222002,54.1526739175003
"41",26,26,"314033.cnv",5,0.0048,28.2667,35.8809,4.31847,49,0.83,27.6858,36.2208,3.83671,"p","march","19/03/2013",201.575011078299,0.026096666790545,0.807318962350384,49.0567748870399,20.2295907845957,22.8354721962517,23.2758463586918,53.4118852026412
"42",27,27,"314034.cnv",5,0.0041,28.3683,35.8821,4.35617,53,0.925,27.5335,36.1988,3.77638,"p","march","19/03/2013",201.575011078299,0.026096666790545,0.953743314091732,53.1770455218846,18.0748340480041,22.8028065601385,23.3092502941633,53.4118852026412
"43",28,28,"314035.cnv",5,0.0658,27.9564,35.9024,4.29259,55,0.785,26.4723,36.2302,3.85079,"p","march","20/03/2013",198.086242968416,0.0264333335061868,0.877266687349726,55.436461075459,27.706053524188,22.9532653208594,23.673160579185,54.4822429382527
"44",29,29,"314036.cnv",5,0.055,27.9185,35.8798,4.2797,57,0.5755,26.7523,36.2814,3.55757,"p","march","20/03/2013",198.086242968416,0.0264333335061868,0.691224278925657,56.6944035001677,25.8380786814236,22.9490622955916,23.6218060146853,54.4822429382527
